id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
479;5685;166;3.951.802.990.325.410;10.0;29/08/2025;19/10/2009;3.581.952.356.292.070
480;2609;84;266.807.205.825.987;21.0;18/08/2025;14/05/2012;19.659.062.758.051.100
481;3192;112;36.030.701.754.385.900;21.0;18/08/2025;21/05/2012;24.086.830.680.173.600
482;2386;73;2.591.785.414.920.360;26.0;12/08/2025;21/05/2012;18.027.116.539.018.800
483;4707;186;4.964.308.476.736.770;33.0;05/08/2025;09/06/2010;3.103.423.049.132.940
484;4526;186;5.036.456.031.816.170;33.0;06/08/2025;09/06/2010;2.983.547.047.137.430
485;1098;64;38.979.963.570.127.500;33.0;05/08/2025;25/08/2011;7.867.491.166.077.730
486;647;54;37.619.783.616.692.400;33.0;05/08/2025;25/08/2011;46.359.442.481.350.600
487;2590;116;542.972.972.972.973;9.0;29/08/2025;19/10/2009;1.631.883.307.440.010
488;935;76;4.517.647.058.823.520;104.0;27/05/2025;19/10/2009;598.833.128.619.056
489;1579;98;33.058.898.036.732.100;19.0;19/08/2025;19/10/2009;996.602.109.631.679
490;4787;164;32.653.018.592.020.000;3.0;05/09/2025;19/10/2009;3.012.508.620.689.650
491;3316;101;28.166.465.621.230.300;3.0;05/09/2025;18/04/2012;24.756.391.900.184.000
492;2032;67;2.376.476.377.952.750;19.0;19/08/2025;21/05/2012;15.330.301.777.594.000
493;1426;75;29.305.750.350.631.100;19.0;19/08/2025;19/10/2009;9.000.345.841.258.860
494;4601;172;4.381.873.505.759.610;10.0;29/08/2025;19/10/2009;28.989.556.361.125.400
495;1755;102;28.284.900.284.900.200;38.0;01/08/2025;19/10/2009;11.111.448.395.490.000
496;2248;129;4.081.850.533.807.820;33.0;05/08/2025;19/10/2009;14.222.915.583.289.900
497;1977;91;3.108.750.632.271.110;21.0;18/08/2025;19/10/2009;12.480.197.163.611.200
498;1746;99;35.446.735.395.189;33.0;05/08/2025;19/10/2009;11.046.801.872.074.800
499;0;0;0.0;;;;0.0
500;2757;125;4.141.820.819.731.590;33.0;05/08/2025;19/10/2009;1.744.331.773.270.930
501;4132;162;4.901.016.456.921.580;33.0;05/08/2025;09/06/2010;2.724.313.583.815.020
502;2860;143;5.697.202.797.202.790;33.0;05/08/2025;09/06/2010;18.856.575.144.508.600
503;1772;127;5.193.002.257.336.340;3.0;05/09/2025;19/10/2009;11.151.379.310.344.800
504;703;54;36.941.678.520.625.800;45.0;24/07/2025;19/10/2009;4.457.095.709.570.950
505;2258;67;233.436.669.619.132;21.0;18/08/2025;19/10/2009;14.254.064.337.599.400
506;1981;54;21.347.804.139.323.500;21.0;18/08/2025;19/10/2009;1.250.544.794.188.860
