id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
280;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
281;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
282;0;0;0.0;;;;0.0
283;0;0;0.0;;;;0.0
284;0;0;0.0;;;;0.0
285;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
286;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
287;1203;40;36.151.288.445.552.700;5.0;07/09/2025;16/07/2018;16.823.563.218.390.800
288;1216;41;3.617.598.684.210.520;5.0;07/09/2025;16/07/2018;1.700.536.398.467.430
289;1222;41;3.617.021.276.595.740;5.0;07/09/2025;16/07/2018;1.708.927.203.065.130
290;1272;41;35.400.943.396.226.400;5.0;07/09/2025;16/07/2018;17.788.505.747.126.400
291;1292;42;35.464.396.284.829.700;5.0;07/09/2025;22/02/2018;17.117.241.379.310.300
292;1157;42;3.752.808.988.764.040;5.0;07/09/2025;16/07/2018;16.180.268.199.233.700
293;40;10;7.725;11.0;01/09/2025;30/04/2016;42.802.697.156.259.100
294;288;30;4.576.388.888.888.880;11.0;01/09/2025;15/06/2014;2.565.779.838.906.510
295;1;1;1.0;4107.0;15/06/2014;15/06/2014;365.0
296;1;1;1.0;4107.0;15/06/2014;15/06/2014;365.0
297;0;0;0.0;;;;0.0
298;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
299;4;2;3.75;12.0;31/08/2025;12/10/2023;21.190.130.624.092.800
300;1370;45;34.416.058.394.160.500;5.0;07/09/2025;04/02/2017;15.935.309.114.085.400
301;1226;40;35.840.130.505.709.600;5.0;07/09/2025;16/07/2018;17.145.210.727.969.300
302;1252;43;35.710.862.619.808.300;5.0;07/09/2025;22/02/2018;16.587.295.825.771.300
303;1255;42;3.559.362.549.800.790;5.0;07/09/2025;16/07/2018;17.550.766.283.524.900
304;1280;41;352.890.625;5.0;07/09/2025;16/07/2018;17.900.383.141.762.400
305;1192;49;37.172.818.791.946.300;5.0;07/09/2025;09/12/2010;8.076.480.415.815.850
306;1232;48;37.743.506.493.506.400;5.0;07/09/2025;22/10/2012;955.952.380.952.381
307;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
308;288;30;4.576.388.888.888.880;11.0;01/09/2025;15/06/2014;2.565.779.838.906.510
309;1;1;1.0;4107.0;15/06/2014;15/06/2014;365.0
310;0;0;0.0;;;;0.0
311;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
312;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
313;2;2;1.5;12.0;31/08/2025;12/10/2023;10.595.065.312.046.400
314;1217;42;36.039.441.248.972.800;5.0;07/09/2025;04/02/2017;14.155.672.402.804.300
315;1209;42;36.129.032.258.064.500;5.0;07/09/2025;15/06/2014;1.075.517.913.721.660
316;1270;42;35.519.685.039.370.000;5.0;07/09/2025;07/07/2018;17.692.748.091.603.000
317;1180;47;3.739.830.508.474.570;5.0;07/09/2025;09/12/2010;7.995.173.565.992.200
318;1193;49;3.865.046.102.263.200;5.0;07/09/2025;22/10/2012;9.256.909.013.605.440
319;288;30;4.576.388.888.888.880;11.0;01/09/2025;15/06/2014;2.565.779.838.906.510
320;1;1;1.0;4107.0;15/06/2014;15/06/2014;365.0
321;1;1;1.0;4107.0;15/06/2014;15/06/2014;365.0
322;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
323;3;1;4.666.666.666.666.660;12.0;31/08/2025;31/08/2025;1095.0
